/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,41.6,,,,,,,,278,,2009-05-22,,,Invymark/laSexta[p 347][p 356],0.4,,,
,,,,,0.8,,,,,,,,,,,,,,,,,,2.6,,,,,,,1.0,,,,,,,3.7,,,,,,,,,,,,,1.0,42.2,,,41.1,,,,,,3.5,,279,,2009-05-20,,,Obradoiro de Socioloxía/Público[p 357],1.1,3206.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.010/11,,,,,,,0.81,,,,,,,3.92/3,,,,,,,,,,,,,0.83/4,42.3167/169,,,38.7155/157,,,,,,3.32/3,,280,,2009-05-15,,,GESOP/El Periódico[p 358][p 359][p 360],3.6,1500.0,,
,,,,,1.03,,,,,,,,,,,,,0.92,,,,,3.312,,,,,,,1.13,,,0.31,,,,5.54,,,,,,,,,,,,,1.26,41.1158,,,39.9157,,,,,,3.43,,281,,2009-05-08,,,Celeste-Tel[p 278],1.2,1100.0,,
,,,,,0.82,,,,,,,,,,,,,0.82,,,,,3.511/12,,,,,,,1.12/3,,,0.31,,,,5.63/6,,,,,,,,,,,,,1.26,41.5160/162,,,39.1156/158,,,,,,3.32/3,,282,,2009-04-30,,,NC Report/La Razón[p 361],2.4,1000.0,70.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,39.6,,,,,,,,283,,2009-04-28,,,Metroscopia/El País[p 362][p 363],1.2,505.0,75.3,
,,,,,0.6,,,,,,,,,,,,,,,,,,2.8,,,,,,,1.0,,,,,,,3.8,,,,,,,,,,,,,1.1,42.3,,,40.0,,,,,,3.5,,284,,2009-04-22,,,Obradoiro de Socioloxía/Público[p 364],2.3,3204.0,,
,,,,,0.60,,,,,,,,,,,,,,,,,,3.411,,,,,,,1.55,,,,,,,4.54/5,,,,,,,,,,,,,1.05/6,40.0154/156,,,40.8161/165,,,,,,2.93,,285,,2009-04-21,,,CIS[p 365][p 366][p 338],0.8,2481.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,42.3,,,37.9,,,,,,4.4,,286,,2009-04-08,,,Sigma Dos/El Mundo[p 367][p 368],4.4,900.0,,
,,,,,1.03,,,,,,,,,,,,,0.92,,,,,3.311,,,,,,,1.13,,,0.31,,,,5.44,,,,,,,,,,,,,1.26,40.9156,,,40.1160,,,,,,3.33,,287,,2009-04-07,,,Celeste-Tel[p 278],0.8,1100.0,,
,,,,,0.92,,,,,,,,,,,,,0.82/3,,,,,3.411/12,,,,,,,1.12/3,,,0.31,,,,5.54/5,,,,,,,,,,,,,1.26,40.8158/161,,,39.9157/159,,,,,,3.32/3,,288,,2009-03-28,,,NC Report/La Razón[p 369],0.9,,71.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,41.9,,,,,,,,289,,2009-03-27,,,Invymark/laSexta[p 370],0.3,,,
,,,,,0.5,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.1,,,,,,,4.8,,,,,,,,,,,,,1.0,40.5,,,41.2,,,,,,3.6,,290,,2009-03-24,,,TNS Demoscopia/Antena 3[p 248][p 371],0.7,,,
,,,,,0.5,,,,,,,,,,,,,,,,,,3.2,,,,,,,0.9,,,,,,,5.0,,,,,,,,,,,,,1.0,40.7,,,39.2,,,,,,3.7,,291,,2009-03-18,,,Obradoiro de Socioloxía/Público[p 372],1.5,3205.0,,
,,,,,1.13,,,,,,,,,,,,,0.92,,,,,3.111,,,,,,,1.24,,,0.31,,,,5.34,,,,,,,,,,,,,1.36,40.7154,,,40.4161,,,,,,3.23,,292,,2009-03-06,,,Celeste-Tel[p 278],0.3,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,40.4,,,,,,,,293,,2009-03-04,,,NC Report/La Razón[p 373],0.2,,,
,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,1.1,37.6,,,43.2,,,,,,3.2,,294,,2009-02-23,,,Simple Lógica[p 374],5.6,1012.0,68.5,
,,,,,,,,,,,,,,,,,,,,,,,2.810/11,,,,,,,1.02,,,,,,,4.84/5,,,,,,,,,,,,,1.16,38.5154/156,,,41.0161/164,,,,,,4.43/5,,295,,2009-02-13,,,GESOP/El Periódico[p 375][p 376][p 377],2.5,800.0,,
,,,,,1.13,,,,,,,,,,,,,0.92,,,,,3.212,,,,,,,1.24,,,0.31,,,,5.24,,,,,,,,,,,,,1.46,40.3152,,,40.6162,,,,,,3.33,,296,,2009-02-06,,,Celeste-Tel[p 278],0.3,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,42.7,,,,,,,,297,,2009-01-30,,,Invymark/laSexta[p 378],1.7,,,
,,,,,0.92/3,,,,,,,,,,,,,0.82/3,,,,,3.411/12,,,,,,,1.13,,,0.31,,,,5.34/5,,,,,,,,,,,,,1.36/7,38.5150/152,,,41.7161/163,,,,,,3.63/4,,298,,2009-01-30,,,NC Report/La Razón[p 379],3.2,1000.0,70.5,
,,,,,0.8,,,,,,,,,,,,,,,,,,2.7,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,1.0,36.7,,,40.2,,,,,,6.0,,299,,2009-01-20,,,Obradoiro de Socioloxía/Público[p 380],3.5,1600.0,,
,,,,,1.02,,,,,,,,,,,,,,,,,,3.413/14,,,,,,,1.33,,,,,,,4.54/5,,,,,,,,,,,,,1.16,39.5153/156,,,39.7159/162,,,,,,3.13,,300,,2009-01-19,,,CIS[p 381][p 382][p 338],0.2,2482.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,42.2,,,,,,,,301,,2009-01-16,,,Invymark/laSexta[p 378],1.0,,,
,,,,,1.03,,,,,,,,,,,,,0.92,,,,,3.112,,,,,,,1.24,,,0.31,,,,5.24,,,,,,,,,,,,,1.36,40.6153,,,40.8162,,,,,,3.13,,302,,2009-01-09,,,Celeste-Tel[p 278],0.2,1100.0,,
,,,,,0.92,,,,,,,,,,,,,0.82,,,,,3.311/12,,,,,,,1.13,,,0.31,,,,4.94/5,,,,,,,,,,,,,1.36,39.6151/153,,,41.6162/164,,,,,,3.23/4,,303,,2009-01-02,,,NC Report/La Razón[p 383],2.0,1000.0,71.5,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.0,,,,,,,3.4,,,,,,,,,,,,,1.4,39.7,,,42.6,,,,,,3.1,,304,,2008-12-26,,,Sigma Dos/El Mundo[p 384][p 385],2.9,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.311/13,,,,,,,1.02/3,,,,,,,4.84/5,,,,,,,,,,,,,1.66/7,37.5148/152,,,40.7161/164,,,,,,5.85/6,,305,,2008-12-19,,,Noxa/La Vanguardia[p 386],3.2,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,41.8,,,,,,,,306,,2008-12-19,,,Invymark/laSexta[p 387],0.3,,,
,,,,,1.1,,,,,,,,,,,,,,,,,,2.6,,,,,,,1.2,,,,,,,4.5,,,,,,,,,,,,,1.2,38.9,,,41.3,,,,,,3.5,,307,,2008-12-18,,,Obradoiro de Socioloxía/Público[p 388],2.4,3198.0,,
,,,,,0.92,,,,,,,,,,,,,0.92,,,,,3.211,,,,,,,1.03,,,0.31,,,,5.14,,,,,,,,,,,,,1.36,40.5156,,,40.9162,,,,,,2.73,,308,,2008-12-05,,,Celeste-Tel[p 278],0.4,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,42.3,,,,,,,,309,,2008-11-28,,,Invymark/laSexta[p 387],1.5,,,
,,,,,0.92/3,,,,,,,,,,,,,0.82,,,,,3.310/11,,,,,,,1.02/3,,,0.31,,,,4.94/5,,,,,,,,,,,,,1.36/7,41.5161/163,,,39.8155/157,,,,,,2.82/3,,310,,2008-11-27,,,NC Report/La Razón[p 389],1.7,1000.0,71.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,42.2,,,41.9,,,,,,,,311,,2008-11-20,,,DYM/ABC[p 390],0.3,1012.0,,
,,,,,1.0,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.2,,,,,,,4.0,,,,,,,,,,,,,1.2,39.2,,,41.3,,,,,,4.0,,312,,2008-11-20,,,Obradoiro de Socioloxía/Público[p 391],2.1,3203.0,,
,,,,,0.92,,,,,,,,,,,,,0.82,,,,,3.111,,,,,,,0.93,,,0.31,,,,5.04,,,,,,,,,,,,,1.26,40.9156,,,41.2163,,,,,,2.72,,313,,2008-11-07,,,Celeste-Tel[p 278],0.3,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.210/11,,,,,,,1.02/3,,,,,,,4.84/5,,,,,,,,,,,,,1.36/7,41.1158/159,,,41.0159/162,,,,,,2.72,,314,,2008-10-30,,,NC Report/La Razón[p 392][p 393],0.1,1000.0,71.7,
,,,,,,,,,,,,,,,,,,,,,,,2.910/11,,,,,,,1.13,,,,,,,4.84/5,,,,,,,,,,,,,1.16,41.3160/164,,,40.2154/158,,,,,w.PP,2.92/3,,315,,2008-10-24,,,GESOP/El Periódico[p 394][p 395][p 396],1.1,1500.0,,
,,,,,0.9,,,,,,,,,,,,,,,,,,3.8,,,,,,,1.3,,,,,,,3.4,,,,,,,,,,,,,1.0,39.4,,,39.4,,,,,w.PP,4.2,,316,,2008-10-23,,,Obradoiro de Socioloxía/Público[p 397],Tie,3203.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,40.7,,,,,w.PP,,,317,,2008-10-10,,,TNS Demoscopia/Antena 3[p 398][p 399],1.7,,,
,,,,,1.0,,,,,,,,,,,,,,,,,,3.8,,,,,,,1.3,,,,,,,4.3,,,,,,,,,,,,,1.1,39.7,,,39.7,,,,,w.PP,2.9,,318,,2008-10-09,,,CIS[p 400][p 401],Tie,2481.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,1.2,,,,,,,4.0,,,,,,,,,,,,,1.6,41.2,,,40.4,,,,,w.PP,3.7,,319,,2008-10-08,,,Intercampo/GETS[p 402][p 403],0.8,1729.0,High,
,,,,,0.92,,,,,,,,,,,,,0.72,,,,,3.012,,,,,,,1.03,,,0.21,,,,5.04,,,,,,,,,,,,,1.26,40.6155,,,41.4163,,,,,w.PP,2.82,,321,,2008-10-07,,,Celeste-Tel[p 278],0.8,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,1.6,39.4,,,39.7,,,,,w.PP,2.8,,322,,2008-10-07,,,Simple Lógica[p 404],0.3,1006.0,72.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,41.7,,,,,w.PP,,,323,,2008-10-03,,,Invymark/laSexta[p 405],0.5,,,
,,,,,,,,,,,,,,,,,,,,,,,3.210,,,,,,,0.93,,,,,,,4.64/5,,,,,,,,,,,,,1.36,41.0156/157,,,41.2160/162,,,,,w.PP,2.72/3,,324,,2008-10-02,,,NC Report/La Razón[p 406][p 407],0.2,1000.0,71.5,
,,,,,1.2,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.0,,,,,,,4.5,,,,,,,,,,,,,1.3,39.4,,,38.6,,,,,w.PP,2.8,,325,,2008-09-25,,,Obradoiro de Socioloxía/Público[p 408],0.8,3171.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.111/12,,,,,,,1.22/3,,,,,,,5.25/6,,,,,,,,,,,,,1.26,39.6152/155,,,40.6159/161,,,,,w.PP,4.23/4,,326,,2008-09-18,,,Noxa/La Vanguardia[p 409],1.0,1000.0,,
,,,,,1.13,,,,,,,,,,,,,0.92,,,,,3.311,,,,,,,1.24,,,0.31,,,,5.25,,,,,,,,,,,,,1.36,40.5154,,,41.4161,,,,,w.PP,2.83,,327,,2008-09-05,,,Celeste-Tel[p 278],0.9,1100.0,,
,,,,,1.12,,,,,,,,,,,,,0.92,,,,,3.311,,,,,,,1.34,,,0.31,,,,5.15,,,,,,,,,,,,,1.36,40.2154,,,41.8162,,,,,w.PP,2.73,,328,,2008-08-07,,,Celeste-Tel[p 278],1.6,1100.0,,
,,,,,0.9,,,,,,,,,,,,,,,,,,3.3,,,,,,,1.5,,,,,,,4.8,,,,,,,,,,,,,1.1,39.3,,,39.5,,,,,w.PP,2.5,,329,,2008-07-13,,,CIS[p 410][p 411],0.2,2468.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,41.1,,,,,w.PP,,,330,,2008-07-10,,,Metroscopia/El País[p 412][p 413],0.2,700.0,,
,,,,,1.13,,,,,,,,,,,,,0.82,,,,,3.311,,,,,,,1.34,,,0.31,,,,4.43,,,,,,,,,,,,,1.26,40.3153,,,42.4164,,,,,w.PP,2.73,,331,,2008-07-07,,,Celeste-Tel[p 278],2.1,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,43.6,,,,,w.PP,,,332,,2008-06-27,,,Invymark/laSexta[p 414],3.6,,,
,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,1.0,41.0,,,42.0,,,,,w.PP,2.0,,333,,2008-06-26,,,Opina/Cadena SER[p 415][p 416],1.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,39.6,,,41.8,,,,,w.PP,1.7,,334,,2008-06-15,,,ASEP[a][p 417],2.2,1203.0,71.3,
,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.9,,,,,,,4.0,,,,,,,,,,,,,1.3,40.0,,,40.0,,,,,w.PP,2.0,,335,,2008-06-12,,,Opina/Cadena SER[p 418][p 419],Tie,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,0.9,,,,,,,4.8,,,,,,,,,,,,,1.2,40.2,,,41.3,,,,,w.PP,2.7,,336,,2008-06-12,,,Sigma Dos/El Mundo[p 420][p 421][p 422],1.1,1000.0,,
,,,,,1.02,,,,,,,,,,,,,0.92,,,,,3.411,,,,,,,1.03,,,0.31,,,,4.32,,,,,,,,,,,,,1.36,39.6152,,,43.4168,,,,,w.PP,2.73,,337,,2008-06-06,,,Celeste-Tel[p 278],3.8,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.810,,,,,,,1.02/3,,,,,,,4.22/3,,,,,,,,,,,,,1.26,37.3145/148,,,45.0173/176,,,,,w.PP,2.52,,338,,2008-05-30,,,GESOP/El Periódico[p 423][p 424],7.7,1500.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,39.3,,,43.8,,,,,w.PP,1.5,,339,,2008-05-18,,,ASEP[a][p 425],4.5,1209.0,73.6,
,,,,,0.92,,,,,,,,,,,,,0.82,,,,,3.311,,,,,,,0.93,,,0.21,,,,4.22,,,,,,,,,,,,,1.26,39.4152,,,44.5169,,,,,w.PP,2.62,,340,,2008-05-08,,,Celeste-Tel[p 278],5.1,1100.0,,
,,,,,1.1,,,,,,,,,,,,,,,,,,3.2,,,,,,,1.6,,,,,,,3.9,,,,,,,,,,,,,1.5,37.6,,,43.6,,,,,w.PP,2.6,,341,,2008-04-30,,,CIS[p 426][p 427],6.0,2459.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,39.6,,,44.1,,,,,w.PP,1.3,,342,,2008-04-20,,,ASEP[a][p 428],4.5,1204.0,76.6,
,,,,,0.92,,,,,,,,,,,,,0.72,,,,,3.010,,,,,,,1.03,,,0.21,,,,3.92,,,,,,,,,,,,,1.26,39.5151,,,44.9171,,,,,w.PP,2.42,,343,,2008-04-07,,,Celeste-Tel[p 278],5.4,1100.0,,
,,,,,0.82,,0.10,,,,,,,,,,,0.72,,,,,3.010,0.10,,,,,,1.23,,,0.21,,,,3.82,,,,,,,0.30,,,,,,1.26,39.9154,,,43.9169,,,,,w.PP,1.21,,344,,2008-03-09,,,2008 general election,4.0,,73.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,^ a b c Undecided and/or abstentionists excluded.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,,,18.1,,,,,,,,,,,,23.4,,,26.5,,,,,,,,0,,2018-07-13,,,Invymark/laSexta[p 1],3.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,3.2,,,,,,,,,16.1,,,,,,,,,,1.2,1.1,22.3,,,26.3,,,,,,,,1,,2018-07-12,,,Sigma Dos/El Mundo[p 2],2.1,1000.0,,
,,,,,,,,,,,,,,,,,,0.41,,,,,,,23.684,,,,0.72,2.48,,,,,,,,,17.555,,,,,,,,,,2.49,1.56,19.775,,,26.4108,,,,,,,,2,2.42,2018-07-10,,,JM&A/Público[p 3],2.8,,69.8,
,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,17.3,,,,,,,,,,,,18.7,,,27.2,,,,,,,,3,,2018-07-06,,,Simple Lógica[p 4],1.2,1048.0,68.0,
,,,,,,,,,,,,,,,,0.2,,0.31,,,,,,,20.662/64,,,,0.93,3.111/12,,,,,,,,,17.751/56,,,,,,1.1,,,,1.68,1.15,24.297/99,,,27.1106/109,,,,,,,,4,,2018-07-06,,,Celeste-Tel/eldiario.es[p 5],2.9,1100.0,63.4,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,20.667/70,,,,0.82,3.110/11,,,,,,,,,16.249/52,,,,,,,,,,1.45/6,1.26,25.2102/104,,,26.3103/105,,,,,,,,5,,2018-06-30,,,NC Report/La Razón[p 6][p 7],1.1,1000.0,62.4,
,,,,,,,,,,,,,,,,,,0.51,,,,,,,25.398,,,,0.82,2.912,,,,,,,,,16.957,,,,,,1.6,,,,1.34,1.36,19.574,,,23.994,,,,,,,,6,2.12,2018-06-22,,,SocioMétrica/El Español[p 8],1.4,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,17.9,,,,,,,,,,,,22.9,,,26.7,,,,,,,,7,,2018-06-22,,,Invymark/laSexta[p 9],3.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,22.875/80,,,,,2.68/10,,,,,,,,,16.647/50,,,,,,,,,,1.65/7,,21.079/83,,,28.6116/120,,,,,,,,8,,2018-06-13,,,GESOP/El Periódico[p 10][p 11],5.8,800.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,,,,,,14.6,,,,,,,,,,,,24.9,,,27.1,,,,,,,,9,,2018-06-12,,,DYM/El Independiente[p 12][p 13],2.2,1019.0,,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,21.069/72,,,,0.82,3.110/11,,,,,,,,,16.750/53,,,,,,,,,,1.55/6,1.26,25.5105/108,,,24.996/99,,,,,,,,10,,2018-06-09,,,NC Report/La Razón[p 14][p 15],0.6,1200.0,60.6,
,,,,,,,,,,,,,,,,,,0.41,,,,,,,25.899,,,,0.62,2.17,,,,,,,,,19.566,,,,,,,,,,2.710,1.77,18.165,,,23.591,,,,,,,,11,2.52,2018-06-08,,,JM&A/Público[p 16][p 17],2.3,,70.3,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,21.170,,,,0.83,3.213,,,,,,,,,13.134,,,,,,1.4,,,,1.65,1.05,25.6101,,,28.8118,,,,,,,,12,1.1,2018-06-08,,,GAD3/ABC[p 18],3.2,800.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,,,,,,,16.5,,,,,,,,,,,,20.6,,,26.7,,,,,,,,13,,2018-06-08,,,Simple Lógica[p 19],1.0,1030.0,69.7,
,,,,,,,,,,,,,,,,0.2,,0.31,,,,,,,21.165/68,,,,0.92/3,3.011,,,,,,,,,17.450/54,,,,,,1.3,,,,1.56,1.26,24.398/102,,,25.8102/105,,,,,,,,14,,2018-06-08,,,Celeste-Tel/eldiario.es[p 20][p 21],1.5,1100.0,62.1,
,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,,,,,,,,,,17.3,,,,,,,,,,,,23.7,,,25.1,,,,,,,,15,,2018-06-08,,,Invymark/laSexta[p 22],1.4,,,
,,,,,,,,,,,,,,,,0.3,,0.30,,,,,,,22.583,,,,1.24,3.011,,,,,,,,,20.573,,,,,,2.1,,,,1.35,1.35,17.168,,,25.2100,,,,,,,,16,2.11,2018-06-07,,,electoPanel/electomania.es[p 23],2.7,846.0,,
,,,,,,,,,,,,,,,,0.3,,0.30,,,,,,,24.293,,,,1.35,2.911,,,,,,,,,20.973,,,,,,2.0,,,,1.44,1.25,18.072,,,22.086,,,,,,,,17,2.51,2018-06-02,,,electoPanel/electomania.es[p 24],2.2,2043.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,17.3,,,,,,,,,,,,23.5,,,22.6,,,,,,,,18,,2018-05-29,,,Invymark/laSexta[p 25],2.9,,,
,,,,,,,,,,,,,,,,,,0.30,,,,,,,24.090,,,,1.13,3.012,,,,,,,,,20.171,,,,,,2.0,,,,1.75,1.36,17.972,,,23.090,,,,,,,,19,3.11,2018-05-28,,,electoPanel/electomania.es[p 26],1.0,1425.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,0.7,2.4,,,,,,,,,19.7,,,,,,2.0,,,,1.8,1.2,19.6,,,20.6,,,,,,,,20,,2018-05-28,,,IMOP/El Confidencial[p 27],8.0,1015.0,70.0,
,,,,,,,,,,,,,,,,,,0.41,,,,,,,28.5108,,,,1.03,3.312,,,,,,,,,19.366,,,,,,1.5,,,,1.54,1.47,16.863,,,20.385,,,,,,,,21,1.91,2018-05-26,,,SocioMétrica/El Español[p 28],8.2,1700.0,,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,24.478/81,,,,0.82,2.910/11,,,,,,,,,15.847/51,,,,,,,,,,1.45/6,1.16,25.6105/109,,,23.690/93,,,,,,,,22,,2018-05-25,,,NC Report/La Razón[p 29][p 30],1.2,1000.0,62.5,
,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,,,,,,,,,17.2,,,,,,,,,,,,20.9,,,20.1,,,,,,,,23,,2018-05-10,,,Simple Lógica[p 31],8.7,1067.0,67.3,
,,,,,,,,,,,,,,,,,,,,,,,,,29.1110,,,,,,,,,,,,,,19.864,,,,,,,,,,,,19.576,,,19.075,,,,,,,,24,,2018-05-09,,,Metroscopia/El País[p 32][p 33][p 34],9.3,1726.0,65.0,
,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,16.9,,,,,,,,,,,,24.7,,,24.2,,,,,,,,25,,2018-05-07,,,Celeste-Tel/eldiario.es[p 20],0.5,1100.0,62.7,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,19.766,,,,0.82,3.612,,,,,,,,,17.754,,,,,,,,,,1.56,1.26,26.0109,,,24.994,,,,,,,,26,,2018-04-30,,,Celeste-Tel/PSOE[p 35],1.1,1000.0,62.7,
,,,,,,,,,,,,,,,,,,,,,,,,,28.5110/114,,,,,3.010/11,,,,,,,,,18.155/59,,,,,,,,,,2.07/8,,21.079/82,,,20.575/79,,,,,,,,27,,2018-04-18,,,GESOP/El Periódico[p 36],7.5,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,,17.1,,,,,,,,,,,,24.8,,,22.3,,,,,,,,28,,2018-04-13,,,Invymark/laSexta[p 37],0.4,,,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,24.376/79,,,,0.82,2.910/11,,,,,,,,,16.246/49,,,,,,,,,,1.45/6,1.16,26.3110/113,,,23.588/91,,,,,,,,29,,2018-04-13,,,NC Report/La Razón[p 38][p 39],2.0,1000.0,63.0,
,,,,,,,,,,,,,,,,,,0.31,,,,,,,22.478,,,,0.62,3.09,,,,,,,,,19.663,,,,,,,,,,1.77,1.36,24.096,,,22.088,,,,,,,,30,,2018-04-10,,,CIS[p 40][p 41],1.6,2466.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,,,17.6,,,,,,,,,,,,19.0,,,20.2,,,,,,,,31,,2018-04-09,,,Simple Lógica[p 42],9.7,1062.0,66.9,
,,,,,,,,,,,,,,,,0.2,,0.31,,,,,,,24.083/86,,,,0.92/3,2.910/11,,,,,,,,,16.648/51,,,,,,1.3,,,,1.56,1.25/6,24.9100/103,,,24.188/92,,,,,,,,32,,2018-04-06,,,Celeste-Tel/eldiario.es[p 43],0.8,1100.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,18.3,,,,,,,,,,,,20.4,,,19.1,,,,,,,,33,,2018-04-05,,,Metroscopia/El País[p 44][p 45],8.3,1278.0,65.0,
,,,,,,,,,,,,,,,,,,0.41,,,,,,,26.497,,,,0.82,2.911,,,,,,,,,18.159,,,,,,,,,,2.28,1.67,22.488,,,20.477,,,,,,,,34,,2018-04-01,,,JM&A/Público[p 46],4.0,,68.5,
,,,,,,,,,,,,,,,,,,0.51,,,,,,,27.4107,,,,0.93,4.015,,,,,,,,,16.247,,,,,,,,,,1.55,1.16,21.987,,,19.478,,,,,,,,35,1.51,2018-03-29,,,SocioMétrica/El Español[p 47],5.5,1000.0,72.0,
,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,3.3,,,,,,,,,18.4,,,,,,,,,,1.3,1.2,23.3,,,19.7,,,,,,,,36,,2018-03-27,,,Sigma Dos/El Mundo[p 48],3.4,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,,,,,,,,,16.0,,,,,,,,,,,,24.7,,,20.4,,,,,,,,37,,2018-03-16,,,MyWord/Cadena SER[p 49][p 50],0.9,1002.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,2.4,,,,,,,,,16.8,,,,,,,,,,2.4,1.2,25.1,,,22.6,,,,,,,,38,,2018-03-16,,,Invymark/laSexta[p 51],0.1,,,
